2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":956000,"v":1,"marker":"gap-start"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":996000,"v":1,"marker":"bus-idle"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":998000,"v":0,"marker":"start"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":1000000,"v":1,"marker":"address-bit","byteIndex":0,"bitIndex":0,"type":"address"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":1010000,"v":0,"marker":"address-bit","byteIndex":0,"bitIndex":1,"type":"address"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":1020000,"v":1,"marker":"address-bit","byteIndex":0,"bitIndex":2,"type":"address"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":1030000,"v":0,"marker":"address-bit","byteIndex":0,"bitIndex":3,"type":"address"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":1040000,"v":0,"marker":"address-bit","byteIndex":0,"bitIndex":4,"type":"address"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":1050000,"v":0,"marker":"address-bit","byteIndex":0,"bitIndex":5,"type":"address"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":1060000,"v":1,"marker":"address-bit","byteIndex":0,"bitIndex":6,"type":"address"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":1070000,"v":0,"marker":"address-bit","byteIndex":0,"bitIndex":7,"type":"address"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":1080000,"v":0,"marker":"ack-bit","byteIndex":0,"type":"ack"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":1090000,"v":1,"marker":"ack-release","byteIndex":0,"type":"ack"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":1090000,"v":0,"marker":"data-bit","byteIndex":1,"bitIndex":0,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":1100000,"v":1,"marker":"data-bit","byteIndex":1,"bitIndex":1,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":1110000,"v":0,"marker":"data-bit","byteIndex":1,"bitIndex":2,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":1120000,"v":1,"marker":"data-bit","byteIndex":1,"bitIndex":3,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":1130000,"v":0,"marker":"data-bit","byteIndex":1,"bitIndex":4,"type":"data"}
